Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Duration(min)
Try Me,Try Me,Tems,07/08/2019,213658,44,"afrobeats, alté, afrobeat, afropop",3.56
Potential,Over It,Summer Walker,04/10/2019,173120,53,r&b,2.89
Ye,Outside,Burna Boy,26/01/2018,231618,63,"afrobeats, afrobeat, afropop, afroswing, dancehall",3.86
Gal Policy,Gal Policy,Kranium,16/06/2020,136826,53,"dancehall, soca, afrobeats, afroswing",2.28
Peru,Peru,Fireboy DML,21/07/2021,151640,48,"afrobeats, afrobeat, afropop, afroswing, afro soul, alté",2.53
Bloody Samaritan,19 & Dangerous,Ayra Starr,06/08/2021,187000,55,"afrobeats, afrobeat, afropop, afro soul",3.12
INJURE ME,WONDALAND,Teni,19/03/2021,152727,34,"afrobeats, afrobeat, afropop, alté, hiplife, afroswing, afro adura, afro soul, azonto",2.55
Holy Father,Holy Father,"Mayorkun, Victony",27/10/2021,184000,42,"afrobeats, afrobeat, afropop, hiplife, afroswing, azonto, alté, afro soul, amapiano",3.07
Girls Want Girls (with Lil Baby),Certified Lover Boy,"Drake, Lil Baby",03/09/2021,221979,72,"rap, hip hop",3.7
Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,"Drake, Future, Young Thug",03/09/2021,257604,69,"rap, hip hop, melodic rap, trap",4.29
Girls Need Love (with Drake) - Remix,Last Day Of Summer,"Summer Walker, Drake",19/10/2018,222374,74,"r&b, rap, hip hop",3.71
P*$$Y Fairy (OTW),P*$$Y Fairy (OTW),Jhené Aiko,17/01/2020,181860,60,r&b,3.03
On The Way (feat. Mila J),Chilombo (Deluxe),"Jhené Aiko, Mila J",17/07/2020,222600,60,r&b,3.71
B.S. (feat. H.E.R.),Chilombo,"Jhené Aiko, H.E.R.",06/03/2020,212866,64,r&b,3.55
Okay,"Afro Pop, Vol. 1",Adekunle Gold,21/08/2020,186299,54,"afrobeats, afrobeat, afropop, alté, afro soul, afroswing",3.1
Party Starter,Party Starter,Gabzy,29/07/2021,237208,36,"afrobeats, afroswing, alté, afrobeat, afropop, afro soul",3.95
