artists,album,genre,popularity,popularity_Rank
"Simon & Garfunkel","Wednesday Morning, 3 A.M.",acoustic,71,1
"SLANDER, Dylan Matthew","Love Is Gone (Acoustic)",acoustic,71,1
SYML,"Where's My Love",acoustic,68,3
"SZA, Justin Bieber","Snooze (Acoustic) (feat. Justin Bieber)",acoustic,65,4
"Frank Ocean","Cayendo (Side A - Acoustic)",acoustic,63,5
"Hillside Recording, Diana Trout",QUIET,acoustic,61,6
AJR,"Inertia (Acoustic)",acoustic,58,7
"Billy Raffoul",1975,acoustic,58,7
"Frank Ocean","Dear April (Side A - Acoustic)",acoustic,57,9
"Billy Raffoul","A Few More Hours at YYZ",acoustic,57,9
"Noah Kahan","Young Blood (Acoustic)",acoustic,56,11
"The Goo Goo Dolls","Dizzy up the Girl",acoustic,46,12
"Healing Solfeggio Frequencies, Harmony Touch","528: Mind & Body Healing",acoustic,45,13
"Molly Hocking, Bailey Rushlow","Here Comes the Sun (Acoustic)",acoustic,42,14
"Roses & Frey","Little Lies",acoustic,39,15
"Guus Dielissen, Casper Esmann","My Love Mine All Mine (Acoustic Instrumental)",acoustic,33,16
"Jonah Baker","She Will Be Loved (Acoustic)",acoustic,31,17
"Matt Johnson, John Adams","The Way You Make Me Feel (Acoustic)",acoustic,30,18
"Devin The Dude","Acoustic Levitation",acoustic,29,19
"Guus Dielissen, Andrew Gialanella",Landslide,acoustic,29,19
"Girl in the Distance","One (Acoustic Cover)",acoustic,27,21
"Victony, Tempoe",Outlaw,afrobeat,69,1
Asake,"Work Of Art",afrobeat,69,1
"Omah Lay","Holy Ghost",afrobeat,68,3
"Davido, Musa Keys",Timeless,afrobeat,68,3
"Victony, Asake","Stubborn (with Asake)",afrobeat,67,5
Rema,"Rave & Roses Ultra",afrobeat,65,6
Asake,"Mr. Money With The Vibe",afrobeat,62,7
"Wizkid, Ayra Starr","More Love, Less Ego",afrobeat,57,8
Rema,RAVAGE,afrobeat,56,9
"Paul CleverLee","Afrobeats 2023",afrobeat,32,10
